Tweet,Stock_value,Stock_actual,Time_tweet
"[['hd', 'on', 'potential', 'impact', 'from', 'tax', 'reform', 'on', 'housing', 'industry', 'amp', 'outlook', 'for', 'housing']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['what', 'hd', 'has', 'learned', 'about', 'online']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['hd', 'through', 'september', 'computed', 'on', 'the', 'avg', 'of', 'beginning', 'amp', 'ending', 'long', 'term', 'debt', 'and', 'equity', 'for', 'the', 'trailing', 'mo']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['tencent', 'on', 'relevance', 'of', 'esports', 'events', 'to', 'overall', 'gaming', 'business']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['i', 'really', 'dont', 'have', 'strong', 'opinion', 'would', 'not', 'be', 'surprised', 'by', 'anything', 're', 'trip', 'at', 'this', 'point', 'but', 'ag']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['of', 'properties', 'sold', 'in', 'which', 'construction', 'hadn', 't', 'yet', 'started', 'reached', 'highest', 'level', 'since', 'jan', 'signaling', 'resid']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['rt', 'mc', 'fp', 's', 'glenmorangie', 'acquisition', 'is', 'a', 'classic', 'example', 'of', 'the', 'buy', 'and', 'globalize', 'a', 'great', 'regional', 'brand', 'the', 'controlling', 'fa']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['nope', 'we', 'intend', 'to', 'apply', 'to', 'have', 'rafael', 's', 'class', 'b', 'common', 'stock', 'listed', 'for', 'trading', 'on', 'the', 'nyse', 'under', 'the', 'symbol', 'rfl']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['rt', 'rafael', 'pharma', 'already', 'has', 'a', 'pretty', 'interesting', 'shareholder', 'list']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['would', 'bet', 'baupost', 'shows', 'up', 'in', 'first', 'shareholder', 'filing', 'post', 'spin']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['howard', 'jonas', 'doesnt', 'want', 'any', 'of', 'your', 'bullshit', 'amp', 'his', 'corp', 'sec', 'is', 'ready', 'to', 'block']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['dont', 'know', 'but', 're', 'carrying', 'cost', 'pf', 'cash', 'balance', 'enuf', 'to', 'exercise', 'the', 'controlling', 'warrant', 'so', 'maybe']]",2587.55714286,2587.77142857,"[13, 30, 0]"
[[]],2587.55714286,2587.77142857,"[13, 30, 0]"
"[['cash', 'depreciated', 'value', 'of', 'the', 're', 'per', 'current', 'idt', 'share']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['asset', 'list', 'for', 'pending', 'idt', 'spinoff', 'rafael', 'w', 'a', 'distribution', 'ratio', 'off', 'a', 'm', 'market', 'cap', 'amp', 'hard', 'to', 'determine']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['predicting', 'success', 'in', 'startup', 'consumer', 'brands']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['rt', 'here', 'is', 'the', 'pg', 'ecb', 'study', 'from', 'on', 'cash', 'vs', 'check', 'v', 'ma']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['i', 'm', 'speaking', 'there', 'at', 'am']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['rt', 'think', 'tank', 'gives', 'you', 'direct', 'access', 'to', 'worth', 'of', 'investment', 'research', 'from', 'world', 'class', 'experts', 'but', 'who', 'are', 'they', 'questionmark', 'f']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['thank', 'you', 'you', 'are', 'the', 'weakest', 'link', 'goodbye']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['rt', 'get', 'off', 'the', 'full', 'price', 'of', 'real', 'vision', 'think', 'tank', 'less', 'than', 'hours', 'to', 'go', 'investment']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['im', 'also', 'talking', 'about', 'the', 'big', 'banks', 'insurers', 'shipping', 'companies', 'auditors', 'etc', 'not', 'private', 'firms', 'with', 'a', 'different', 'solution']]",,,"[18, 47, 28]"
"[['if', 'inflation', 'is', 'running', 'at', 'and', 'lets', 'say', 'that', 'debasement', 'is', 'running', 'at', 'even', 'per', 'annum']]",,,"[18, 43, 13]"
"[['but', 'thats', 'all', 'that', 'most', 'of', 'the', 'financial', 'system', 'needs', 'a', 'multi', 'party', 'ledger', 'with', 'multi', 'party', 'verification']]",,,"[18, 42, 6]"
"[['im', 'partly', 'to', 'blame', 'for', 'igniting', 'the', 'fire', 'on', 'sunday', 'and', 'lobbing', 'a', 'few', 'grenades', 'oops']]",,,"[17, 13, 9]"
[['yup']],,,"[17, 10, 44]"
"[['exactly', 'my', 'point']]",2592.28,2592.28,"[7, 12, 46]"
"[['it', 'appears', 'to', 'be', 'based', 'on', 'the', 'us', 'oil', 'refinery', 'cycle', 'have', 'done', 'a', 'lot', 'of', 'work', 'on', 'th']]",2592.28,2582.14,"[7, 10, 34]"
"[['i', 'didnt', 'dare', 'say', 'it', 'on', 'twitter', 'exclamationpoint']]",2592.28,2582.14,"[7, 7, 21]"
"[['agreed', 'that', 'is', 'what', 'attracted', 'me', 'to', 'it', 'originally', 'but', 'the', 'crazy', 'price', 'rises', 'and', 'the', 'speculation', 'and']]",2587.55714286,2587.77142857,"[13, 30, 0]"
[['thing']],2587.55714286,2587.77142857,"[13, 30, 0]"
"[['agreed', 'but', 'how', 'do', 'you', 'get', 'around', 'the', 'rapidly', 'changing', 'cost', 'of', 'a', 'slot', 'on', 'the', 'blockc']]",2587.55714286,2587.77142857,"[13, 30, 0]"
